Cue,Collection_S12,Collection_S15,Collection_S21,Collection_S22,Collection_S23,Collection_S30,Collection_S34,Collection_S57,Collection_S64,Collection_S65,Collection_S67,Collection_S7,Count_S12,Count_S15,Count_S21,Count_S22,Count_S23,Count_S30,Count_S34,Count_S57,Count_S64,Count_S65,Count_S67,Count_S7
eventail,"""froid"", ""vent"", ""asie"", ""chaleur"", ""canicule"", ""geisha""","""vent"", ""chaleur"", ""être"", ""transpiration"", ""fatigue"", ""respiration""","""air"", ""être"", ""chaleur"", ""vent"", ""chine""",,,"""chaleur"", ""fraîcheur"", ""asie"", ""japon"", ""chine""","""chaud"", ""espagne"", ""asie"", ""couleur"", ""papier""","""chaleur"", ""être"", ""plage"", ""pratique"", ""élégant""",,"""chine"", ""empire"", ""aristocratie"", ""femme"", ""vent"", ""chaleur"", ""canicule""",,"""chine"", ""culture"", ""bouddhisme"", ""théâtre"", ""geisha""",6,6,5,0,0,5,5,5,0,7,0,5
extincteur,,,,,,,,"""incendie"", ""pompier"", ""camion, pompier"", ""secours"", ""feu"", ""combinaison""","""feu"", ""fumée"", ""mousse"", ""blanc"", ""chalet""",,"""feu"", ""pompier"", ""prévenir"", ""cant, find, word, sav""",,0,0,0,0,0,0,0,6,5,0,4,0
flasque,"""alcool"", ""alcoolisme"", ""vodka"", ""whisky"", ""addiction"", ""le, vieux""","""alcool"", ""bouteille"", ""apéro"", ""pêche"", ""bourré""",,,,"""alcool"", ""liquide"", ""brûler"", ""cacher"", ""métal"", ""ancien"", ""vieux""",,"""alcool"", ""cacher"", ""boire"", ""ivre"", ""danser"", ""samuser""","""conteneur"", ""eau"", ""alcool"", ""soirée"", ""boîte""","""parfum"", ""odeur"", ""homme"", ""chic""","""boisson"", ""froid"", ""pour, se, réchauffer""","""boisson"", ""alcoolique"", ""cacher"", ""boire""",6,5,0,0,0,7,0,6,5,4,3,4
fourmilier,"""fourmi"", ""fourmilière"", ""nourriture"", ""forêt, amazonien"", ""forêt"", ""animal"", ""insect""",,"""fourmi"", ""animal"", ""mammifère"", ""langue"", ""manger"", ""terre""",,,,"""animal"", ""poilu"", ""fourmi"", ""solitaire""",,,,,"""fourmi"", ""manger"", ""nourriture"", ""déplacer"", ""marché""",7,0,6,0,0,0,4,0,0,0,0,5
girouette,"""vent"", ""direction"", ""folie"", ""maison, ancien""","""nord"", ""sud"", ""être"", ""west"", ""direction"", ""coucher, de, soleil"", ""lever, de, soleil"", ""lumière""",,,,,,"""boussole"", ""être"", ""ouest"", ""nord"", ""sud"", ""direction"", ""fleche"", ""aller"", ""se, déplacer""",,,,"""vent"", ""direction"", ""bâtiment"", ""tour"", ""ville"", ""route""",4,8,0,0,0,0,0,9,0,0,0,6
gland,"""écureuil"", ""arbre"", ""automne"", ""feuille"", ""ecorce"", ""nourriture""","""écureuil"", ""arbre"", ""feuille"", ""automne"", ""frais""","""nature"", ""reproduction"", ""pollinisation"", ""arbre""",,,"""ice, age"", ""écureuil"", ""arbre"", ""printemps"", ""feuille""","""arbre"", ""écureuil""","""noix"", ""écureuil"", ""arbre"", ""new, york""","""noix"", ""cajou"", ""coco""","""écureuil"", ""arbre"", ""nature"", ""verdure"", ""nature""",,"""port"", ""forêt""",6,5,4,0,0,5,2,4,3,5,0,2
gong,"""méditation"", ""yoga"", ""asie"", ""bouddhisme"", ""temple""","""son"", ""fort""","""son"", ""percussion"", ""métal""",,,"""bruit"", ""cymbale"", ""taper"", ""lourd"", ""métal"", ""gris""",,,,,,"""chine"", ""appuyer"", ""plier"", ""son"", ""prière"", ""région""",5,2,3,0,0,6,0,0,0,0,0,6
gouvernail,"""bateau"", ""capitaine"", ""mer"", ""pirate"", ""barre""","""bateau"", ""mer"", ""capitaine"", ""voyage"", ""passager""",,,"""navigation"", ""mer"", ""bateau"", ""découverte"", ""pirate""","""voil"", ""bateau"", ""navire"", ""mère"", ""capitaine"", ""matelot""","""bateau"", ""voyage"", ""orientation"", ""bois""","""bateau"", ""volant"", ""direction"", ""aller"", ""pirate"", ""eau"", ""pirate""",,"""bateau"", ""expédition"", ""titanic"", ""commandant"", ""pirate"", ""expédition""",,"""capitaine"", ""bateau"", ""colombe"", ""moyen, âge""",5,5,0,0,5,6,4,7,0,6,0,4
guillotine,"""marier, antoinette"", ""france"", ""royauté"", ""mort"", ""décapitation"", ""monarchie""",,"""révolution"", ""exécution"", ""oppression"", ""terreur"", ""humilité""","""tête""","""exécution"", ""mort"", ""décapitement"", ""punition""","""tuer"", ""luire"", ""roi"", ""france"", ""révolution""","""moyen, âge"", ""crime"", ""spectacle""","""roi, de, france"", ""tête"", ""couper"", ""mal"", ""torture""","""mise, à, mort"", ""exécution"", ""tête"", ""décapitation"", ""mort""","""révolution, français"", ""histoire"", ""marier, antoinette""","""france"", ""punition"", ""temps, ancien"", ""finir""","""mort"", ""couper, le, tête"", ""moyen, âge"", ""france"", "" , siècle""",6,0,5,1,4,5,3,5,5,3,4,5
guirlande,,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0
